id,location,bathrooms,bedrooms,parking,size,agent,price
878,Observatory,2.5,5.0,2.0,373,RE/MAX Living,2 550 000
879,Woodstock,1.0,2.0,,151,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",1 650 000
880,Plumstead,1.0,1.0,,,REDZ etc,1 312 571
881,Foreshore,1.0,1.0,1.0,,Brown Property,2 150 000
882,Claremont,1.0,3.0,2.0,495,The Agency Property Group,4 650 000
883,Kirstenhof,4.0,4.0,2.0,,,3 625 000
884,Rondebosch,2.0,3.0,4.0,251,"RE/MAX, Premier - Claremont",5 175 000
885,Zeekoevlei,2.0,5.0,5.0,650,"RE/MAX, Premier - Claremont",2 995 000
886,Three Anchor Bay,2.5,3.0,1.0,174,Pam Golding Properties - Atlantic Seaboard,7 950 000
887,Lotus River,1.0,3.0,2.0,500,RE/MAX Impact,1 545 000
888,Plumstead,1.0,2.0,,,,1 695 000
889,Claremont,1.0,2.0,1.0,249,Heads Residential Property,2 295 000
890,Southfield,1.0,2.0,3.0,,Eazi Real Estate,1 450 000
891,Belhar,4.0,4.0,2.0,493,We Trade Property - Northern Suburbs,1 550 000
892,Belhar,1.0,2.0,1.0,,Rank Real Estate Bellville,780 000
893,Gardens,5.5,8.0,1.0,171,RE/MAX Living,6 995 000
894,Green Point,6.0,13.0,,537,Rawson Properties Cape Town CBD,11 500 000
895,Retreat,1.0,5.0,2.0,510,Chas Everitt Cape Town South,1 950 000
896,Woodstock,3.0,4.0,4.0,545,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",3 995 000
897,Tamboerskloof,3.0,3.0,1.0,415,"Kapstadt International Properties cc, Gardens",6 200 000
898,Claremont Upper,2.5,3.0,2.0,612,Dogon Group Southern Suburbs,6 500 000
899,Wynberg,1.0,2.0,1.0,170,Realty Professionals,1 050 000
900,Claremont Upper,2.5,3.0,2.0,612,Dogon Group Southern Suburbs,6 500 000
901,Observatory,1.0,3.0,,218,Realty Atlas,2 499 000
902,Rylands,3.0,6.0,6.0,298,RE/MAX Elite,1 490 000
903,Green Point,13.0,12.0,10.0,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,19 500 000
904,Mowbray,2.5,3.0,1.0,199,Knight Frank,3 900 000
905,Tokai,3.0,4.0,2.0,1250,Seeff Southern Suburbs,4 095 000
906,Rondebosch Village,1.0,3.0,2.0,,RE/MAX Elite,3 650 000
907,Fisantekraal,1.0,3.0,1.0,200,Attorney Realtor Hub,620 000
908,Marina Da Gama,1.0,3.0,4.0,560,"RE/MAX, Premier - Claremont",2 475 000
909,Kalk Bay,4.0,4.0,3.0,466,Engel & Volkers False Bay,13 495 000
910,Newlands,2.5,3.0,4.0,543,Chas Everitt Cape Town South,6 990 000
911,Hanover Park,1.0,2.0,5.0,102,RE/MAX Impact,480 000
912,Tokai,3.0,4.0,5.0,547,Keller Williams Explore Properties,3 750 000
913,Pelican Park,2.0,4.0,4.0,,RE/MAX Impact,1 395 000
914,Muizenberg,2.0,3.0,3.0,219,Erf Size,1 995 000
915,Bishopscourt,4.5,5.0,4.0,4344,Seeff Southern Suburbs,11 300 000
916,Wynberg Upper,1.0,2.0,2.0,246,Pam Golding Properties - Southern Suburbs,2 199 000
917,Woodstock,1.0,2.0,,117,RE/MAX Living,1 995 000
918,Bishopscourt,4.5,5.0,4.0,4344,Seeff Southern Suburbs,11 300 000
919,Camps Bay,3.0,3.0,2.0,379,Seeff Camps Bay - Sales,10 995 000
920,Fresnaye,6.0,4.0,3.0,1528,RE/MAX Living,32 500 000
921,Woodstock,1.0,2.0,,1022,Tyson Properties Atlantic Seaboard,1 750 000
922,Sea Point,2.0,2.0,1.0,210,We Trade Property - Northern Suburbs,POA
923,Bonteheuwel,1.0,3.0,2.0,108,"CCH Properties, Western Cape and South Africa",549 000
924,Retreat,1.0,3.0,2.0,791,Cape Realty International,1 795 000
925,Muizenberg,2.0,3.0,1.0,403,Sale,3 200 000
926,Wynberg,2.0,4.0,2.0,496,RE/MAX Living,2 750 000
927,Harfield Village,2.0,2.0,1.0,209,Harcourts Maynard Burgoyne,2 500 000
928,Gardens,14.0,13.0,,,Jawitz Atlantic Seaboard,10 695 000
929,Ocean View,1.0,3.0,,109,Chas Everitt Cape Town South,695 000
930,Constantia,2.0,3.0,2.0,291,Alexo Property Brokers,3 500 000
931,Newlands,3.0,4.0,2.0,450,Keller Williams Eden,5 385 000
932,Newlands,3.5,4.0,2.0,195,Hardie Property,5 795 000
933,Bergvliet,2.0,5.0,4.0,854,Keller Williams Explore Properties,3 900 000
934,Claremont Upper,5.0,6.0,2.0,1512,Greeff Christie's International Real Estate - Southern Suburbs,33 500 000
935,Plumstead,3.0,5.0,2.0,,Rawson Properties Rawson Auctions Western Cape,3 150 000
936,Wynberg Upper,2.0,3.0,5.0,478,Rawson Properties Constantia,2 600 000
937,Ocean View,1.0,3.0,,109,Chas Everitt Cape Town South,695 000
938,Constantia,3.0,3.0,8.0,5507,Tyson Properties Southern Suburbs,10 950 000
939,Woodstock,1.0,2.0,,119,BAE Estates & Escapes,899 999
940,Belhar,1.0,3.0,1.0,275,We Trade Property - Northern Suburbs,700 000
941,Rondebosch East,3.0,5.0,6.0,624,Jawitz South East Suburbs,3 995 000
942,Newlands,2.0,3.0,5.0,574,Pam Golding Properties - Southern Suburbs,4 850 000
943,Muizenberg,2.0,3.0,2.0,250,Erf Size,1 575 000
944,Grassy Park,,,,,Momentum International Realty - Central,1 500 000
945,Rondebosch,3.5,5.0,6.0,991,Link Property People,10 500 000
946,Ottery,3.0,3.0,2.0,113,Rawson Properties Constantia,1 620 000
947,Constantia,2.0,3.0,3.0,96,"RE/MAX, Premier - Claremont",3 750 000
948,Kenilworth Upper,2.0,3.0,2.0,363,Seeff Southern Suburbs,4 950 000
949,Wynberg,1.0,2.0,1.0,102,Icon Properties,1 100 000
950,Kenilworth,2.0,3.0,4.0,496,Norgarb Properties,3 275 000
951,Constantia,,,,1500,Erf Size,4 995 000
952,Constantia,5.5,5.0,8.0,2104,Hardie Property,7 900 000
953,Plumstead,4.0,5.0,5.0,496,"RE/MAX, Premier - Claremont",2 795 000
954,Kenilworth,2.0,4.0,3.0,359,"RE/MAX, Premier - Claremont",3 475 000
955,Wynberg,1.0,3.0,2.0,154,Greeff Christie's International Real Estate - Southern Suburbs,1 450 000
956,Constantia,4.0,4.0,8.0,1359,Chas Everitt Cape Town South,5 950 000
957,Belhar,1.0,3.0,,254,Icon Property Group,750 000
958,Plumstead,1.0,3.0,4.0,496,Keller Williams Eden,2 475 000
959,Clifton,,,,,The High St Auction Co,POA
960,Wynberg Upper,1.0,2.0,2.0,250,Pam Golding Properties - Southern Suburbs,1 899 000
961,Mowbray,2.0,3.0,2.0,429,Pam Golding Properties - Southern Suburbs,3 200 000
962,Pelican Park,1.0,2.0,1.0,,,950 000
963,Green Point,6.0,5.0,4.0,577,Tyson Properties Atlantic Seaboard,8 995 000
964,Claremont,2.0,4.0,4.0,211,Knight Frank,3 200 000
965,Bo Kaap,4.0,8.0,1.0,190,Rawson Properties Claremont,5 500 000
966,Wynberg,1.0,3.0,2.0,154,Greeff Christie's International Real Estate - Southern Suburbs,1 450 000
967,Gardens,2.0,4.0,2.0,335,Engel & Volkers Atlantic Seaboard & City Bowl,4 750 000
968,Muizenberg,1.0,2.0,3.0,191,Seeff False Bay - Muizenberg,1 295 000
969,Vredehoek,1.0,3.0,1.0,1000,Chas Everitt Atlantic Seaboard and City Bowl,POA
970,Harfield Village,2.5,3.0,,396,Knight Frank,2 795 000
971,Newlands,2.5,2.0,2.0,1066,Sale,10 900 000
972,Vredehoek,2.0,3.0,2.0,,Jawitz Atlantic Seaboard,4 365 000
973,Kenilworth Upper,4.0,5.0,4.0,1451,Pam Golding Properties - Southern Suburbs,16 900 000
974,Zonnebloem,1.0,2.0,1.0,185,RE/MAX Living,2 790 000
975,Meadowridge,3.0,4.0,3.0,815,RE/MAX Elite,3 650 000
976,Bishopscourt Village,2.5,3.0,3.0,450,Seeff Southern Suburbs,5 200 000
977,Gleemoor,2.0,5.0,2.0,423,Theron Property Group,1 899 000
978,Observatory,1.0,2.0,,123,Rose Eedes Properties,1 999 000
