id,location,bathrooms,bedrooms,parking,size,agent,price
586,Woodstock,1.0,4.0,,128,ClareMart Auction Group,POA
587,Pinati,1.0,3.0,2.0,535,Rubicon Real Estate Western Cape,1849000
588,Constantia,3.0,3.0,2.0,8144,Pam Golding Properties - Southern Suburbs,13595000
589,Observatory,2.0,4.0,2.0,285,Pam Golding Properties - Southern Suburbs,2495000
590,Tokai,2.0,4.0,2.0,660,RE/MAX Elite,3825000
591,Pinelands,2.0,4.0,6.0,833,Pam Golding Properties - Southern Suburbs,3250000
592,Bantry Bay,5.0,5.0,6.0,1486,Seeff Sea Point - Sales,92500000
593,Muizenberg,1.0,2.0,4.0,201,Seeff False Bay - Muizenberg,1160000
594,Green Point,3.0,4.0,2.0,266,Erf Size,8995000
595,Ottery,1.0,3.0,4.0,262,Eazi Real Estate,1750000
596,Sea Point,2.5,2.0,1.0,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,5850000
597,Marina Da Gama,3.0,4.0,,479,Keller Williams Explore Properties,3250000
598,Green Point,3.0,3.0,2.0,301,Mayfair Property Group,7750000
599,Green Point,3.0,5.0,2.0,369,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",8500000
600,Bergvliet,3.0,4.0,2.0,844,RE/MAX Elite,4200000
601,Kenilworth Upper,3.0,4.0,5.0,1111,Pam Golding Properties - Southern Suburbs,7995000
602,Pinelands,4.5,4.0,7.0,1280,De Graaf Properties,6400000
603,Pinelands,2.0,4.0,6.0,833,Pam Golding Properties - Southern Suburbs,3250000
604,Tamboerskloof,2.0,3.0,2.0,312,Pam Golding Properties - City Bowl,8500000
605,Woodstock,1.0,1.0,1.0,,Century 21 Southern Suburbs,1800000
606,Constantia,3.0,4.0,2.0,339,Fine & Country - Associates,7250000
607,Mouille Point,1.0,1.0,1.0,63,Omega Real Estate,4100000
608,Woodstock,2.0,3.0,,124,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2250000
609,Kensington,2.0,3.0,1.0,267,DURR Estates Cape Town Northern Suburbs,1400000
610,Claremont Upper,4.0,3.0,2.0,600,ClareMart Auction Group,POA
611,Kenwyn,3.0,4.0,3.0,465,Alexo Property Brokers,2550000
612,Constantia,3.0,4.0,10.0,2529,"RE/MAX, Premier - Claremont",8800000
613,Observatory,3.0,5.0,4.0,428,"RE/MAX, Premier - Claremont",2995000
614,Bishopscourt,2.5,3.0,3.0,,Sotheby's International Realty - Claremont,12500000
615,Observatory,2.0,3.0,,117,Eazi Real Estate,1890000
616,Bo Kaap,4.0,4.0,,140,Evolution Properties,3800000
617,Observatory,5.0,5.0,,229,"RE/MAX, Premier - Claremont",2995000
618,Constantia,,,,2500,Real Estate Services,9500000
619,Observatory,2.0,5.0,,,,2700000
620,Silvertree Estate,3.5,4.0,4.0,604,Chas Everitt Cape Town South,9350000
621,Thornton,3.0,5.0,4.0,654,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2495000
622,Tokai,3.5,3.0,2.0,230,The Agency Property Group,5995000
623,Kenilworth,3.5,4.0,4.0,,Blue Chip Properties,4950000
624,Diep River,2.0,3.0,4.0,223,"RE/MAX, Premier - Claremont",2350000
625,Thornton,3.0,3.0,2.0,595,Erf Size,2995000
626,Tokai,2.0,3.0,3.0,1011,Sotheby's International Realty - Tokai,5795000
627,Kirstenhof,2.0,3.0,4.0,287,Sale,2195000
628,Vredehoek,2.5,3.0,5.0,320,Sale,7100000
629,Muizenberg,2.0,3.0,1.0,200,Property.CoZa - Southern Peninsula,1200000
630,Bishopscourt,2.5,3.0,3.0,,Sotheby's International Realty - Claremont,12500000
631,Rondebosch,4.0,10.0,,,"RE/MAX, Premier - Claremont",5250000
632,Muizenberg,2.0,4.0,2.0,446,Glendyr Dade Properties,2500000
633,Constantia,5.0,7.0,8.0,2032,"RE/MAX, Premier - Claremont",11500000
634,Pinelands,2.0,4.0,2.0,898,Sharon Van Rensburg Properties,4250000
635,Claremont Upper,3.0,4.0,2.0,781,Seeff Southern Suburbs,6700000
636,Claremont,2.0,3.0,1.0,366,Seeff Southern Suburbs,3295000
637,Belgravia,3.5,5.0,8.0,496,RE/MAX Elite,1790000
638,Zeekoevlei,3.0,5.0,5.0,871,Sale,3500000
639,Camps Bay,6.5,7.0,2.0,690,RE/MAX Living,11500000
640,Bishopscourt,3.5,5.0,7.0,4035,Sotheby's International Realty - Claremont,24950000
641,Maitland,1.0,3.0,3.0,396,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2695000
642,University Estate,2.0,2.0,2.0,315,Mayfair Property Group,3750000
643,Steenberg,1.0,3.0,1.0,567,Momentum International Realty - Central,1899000
644,Sea Point,5.5,6.0,4.0,395,Sotheby's International Realty - Atlantic Seaboard & City Bowl,9950000
645,Bo Kaap,3.0,3.0,1.0,170,"Kapstadt International Properties cc, Gardens",4500000
646,Rondebosch,2.0,3.0,2.0,367,Upton Properties Newlands,3550000
647,Constantia,3.0,5.0,4.0,2027,"RE/MAX, Property Associates - Pinelands",9300000
648,Sea Point,2.0,4.0,,250,Rawson Properties Milnerton,4995000
649,Sea Point,5.5,6.0,4.0,395,Sotheby's International Realty - Atlantic Seaboard & City Bowl,9950000
650,Lotus River,2.5,3.0,5.0,500,Eazi Real Estate,1530000
651,Kenwyn,3.0,5.0,5.0,718,"RE/MAX, Premier - Claremont",3700000
652,Kenilworth,2.5,3.0,3.0,96,Eazi Real Estate,2595000
653,Claremont Upper,2.5,5.0,2.0,1309,Rawson Properties Constantia,6749000
654,Plumstead,2.0,2.0,1.0,496,Fouchee Properties,2500000
655,Bishopscourt,4.5,4.0,9.0,2212,Dogon Group Southern Suburbs,14500000
656,Sea Point,2.5,3.0,2.0,199,Jawitz Atlantic Seaboard,7250000
657,Wynberg Upper,4.0,6.0,10.0,1569,Pam Golding Properties - Southern Suburbs,6500000
658,Steenberg Golf Estate,4.5,4.0,4.0,822,Steenberg Property Sales,16995000
659,Observatory,2.0,2.0,1.0,,"Just Property, Claremont",1900000
660,Oranjezicht,4.0,4.0,,471,RE/MAX Living,15000000
661,Claremont,3.0,4.0,2.0,495,Dogon Group Southern Suburbs,5250000
662,Bishopscourt,4.5,4.0,9.0,2212,Dogon Group Southern Suburbs,14500000
663,Claremont,2.0,2.0,4.0,316,Pam Golding Properties - Southern Suburbs,2495000
664,Camps Bay,3.5,4.0,3.0,511,Chas Everitt Atlantic Seaboard and City Bowl,11500000
665,Walmer Estate,1.0,4.0,,666,The Real Estate Company Cape Town,6995000
666,Woodstock,2.0,3.0,1.0,,BAE Estates & Escapes,1750000
667,Salt River,1.0,2.0,1.0,124,Eazi Real Estate,1750000
668,Kenilworth,2.0,3.0,2.0,497,Heads Residential Property,2750000
669,Constantia,2.0,4.0,2.0,825,Sotheby's International Realty - Tokai,4950000
670,Seawinds,1.0,3.0,1.0,240,Cape Realty International,699999
671,Camps Bay,4.0,4.0,2.0,,RE/MAX Living,13995000
672,Muizenberg,2.0,3.0,2.0,356,Greeff Christie's International Real Estate - Southern Suburbs,3450000
673,Claremont,2.0,3.0,4.0,734,Pam Golding Properties - Southern Suburbs,4485000
674,Plumstead,3.0,4.0,2.0,495,Rawson Properties Constantia,3495000
675,Bishopscourt,8.0,8.0,16.0,7709,Seeff Southern Suburbs,56000000
676,Ottery,2.0,5.0,4.0,595,Eazi Real Estate,2995000
677,Plumstead,1.0,3.0,2.0,364,Rawson Properties Rawson Auctions Western Cape,2300000
678,Constantia,4.0,4.0,2.0,1500,Fine & Country - Associates,12900000
679,Matroosfontein,1.0,2.0,1.0,,Floor Size,950000
680,Fresnaye,2.5,4.0,3.0,396,RE/MAX Living,8200000
681,Tokai,2.5,2.0,4.0,248,Blue Chip Properties,7700000
682,Observatory,2.0,2.0,,135,RE/MAX Living,2595000
683,Claremont,2.0,3.0,4.0,734,Pam Golding Properties - Southern Suburbs,4485000
684,Pinelands,3.0,4.0,5.0,833,"RE/MAX, Premier - Claremont",4195000
685,Fresnaye,3.0,4.0,2.0,445,Tyson Properties Atlantic Seaboard,13700000
686,Coniston Park,1.0,4.0,2.0,227,Erf Size,1200000
687,Bakoven,5.5,5.0,3.0,638,Lance Real Estate,42000000
688,Claremont,3.0,3.0,2.0,268,Seeff Southern Suburbs,4495000
689,Bantry Bay,3.5,3.0,4.0,626,Hamiltons Property Portfolio - Cape Town,49000000
690,Pinelands,2.0,2.0,4.0,885,Pam Golding Properties - Southern Suburbs,3100000
691,Bantry Bay,3.0,4.0,2.0,388,Law Real Estate,11995000
692,Observatory,2.0,3.0,,190,Rose Eedes Properties,2400000
693,Constantia,5.5,5.0,6.0,1437,Tyson Properties Southern Suburbs,19900000
694,Lakeside,2.0,3.0,3.0,,Chas Everitt Cape Town South,4200000
695,Pinelands,1.0,3.0,4.0,803,Knight Frank,3200000
696,Tokai,2.0,4.0,7.0,901,"RE/MAX, Premier - Claremont",3250000
697,Observatory,2.0,3.0,2.0,136,Tyson Properties Atlantic Seaboard,3250000
698,Wynberg,4.0,5.0,5.0,496,"RE/MAX, Premier - Claremont",2350000
699,Bo Kaap,4.0,5.0,1.0,377,Michelle Thomas Properties,3750000
700,Woodstock,1.0,3.0,1.0,168,Knight Frank,2195000
701,Kenilworth,2.0,3.0,4.0,722,Pam Golding Properties - Southern Suburbs,3900000
702,Sea Point,3.0,4.0,1.0,137,RE/MAX Living,5950000
703,Harfield Village,1.0,2.0,3.0,337,Seeff Southern Suburbs,2750000
704,Constantia,3.0,4.0,4.0,726,Blue Chip Properties,4995000
705,Green Point,7.5,7.0,6.0,515,Tyson Properties Atlantic Seaboard,27500000
706,Green Point,7.5,7.0,6.0,515,Tyson Properties Atlantic Seaboard,27500000
707,Thornton,4.0,5.0,3.0,595,Seeff Pinelands,2695000
708,Observatory,3.0,3.0,2.0,328,Tyson Properties Atlantic Seaboard,2995000
709,Kirstenhof,3.0,4.0,3.0,720,Realtors International Chapmans Peak,4150000
710,Constantia,4.0,5.0,3.0,1663,"RE/MAX, Premier - Claremont",5900000
711,Surrey Estate,2.0,5.0,9.0,496,Momentum International Realty - Central,1799000
712,Plumstead,2.0,4.0,5.0,515,Lola Kramer Properties,3295000
713,Zeekoevlei,3.0,4.0,7.0,736,Greeff Christie's International Real Estate - Southern Suburbs,3395000
714,Newlands,4.0,4.0,3.0,991,Tyson Properties Southern Suburbs,14495000
715,Southfield,1.0,3.0,5.0,495,RE/MAX Impact,2650000
716,Penlyn Estate,2.0,6.0,2.0,496,Keller Williams Eden,2350000
717,Vredehoek,3.0,3.0,2.0,228,"Kapstadt International Properties cc, Gardens",5950000
718,Plumstead,1.0,3.0,2.0,296,Rawson Properties Constantia,1850000
719,Diep River,1.0,3.0,2.0,496,Omega Real Estate,2750000
720,Claremont,4.0,4.0,,377,Erf Size,5995000
721,Muizenberg,10.0,9.0,9.0,1250,Pam Golding Properties - Muizenberg,22000000
722,Rondebosch,2.0,4.0,2.0,433,Seeff Southern Suburbs,3975000
723,Steenberg Golf Estate,3.5,3.0,4.0,778,Steenberg Property Sales,13500000
724,Rosebank,2.0,2.0,,178,Pam Golding Properties - Southern Suburbs,2800000
725,Salt River,3.0,10.0,,282,Tyson Properties Atlantic Seaboard,4000000
726,Fresnaye,4.5,4.0,2.0,829,RE/MAX Living,20500000
727,Wynberg Upper,2.0,2.0,2.0,454,Pam Golding Properties - Southern Suburbs,1999000
728,Fresnaye,4.5,5.0,2.0,481,Jawitz Atlantic Seaboard,16750000
729,De Waterkant,3.0,3.0,1.0,,Floor Size,7995000
730,Observatory,1.0,2.0,,124,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2195000
731,Mowbray,1.5,3.0,1.0,265,Greeff Christie's International Real Estate - Southern Suburbs,3395000
732,Constantia,4.5,4.0,2.0,524,Greeff Christie's International Real Estate - Southern Suburbs,10650000
733,Mowbray,2.0,3.0,3.0,381,Knight Frank,3295000
734,Plumstead,1.0,3.0,2.0,296,Rawson Properties Constantia,1850000
735,Claremont Upper,4.0,4.0,5.0,965,Pam Golding Properties - Southern Suburbs,10950000
736,Fresnaye,4.5,4.0,3.0,598,Jawitz Atlantic Seaboard,23500000
